knowledge,values,attach
Java基础语法,"一个 Java 程序可以认为是一系列对象的集合，而这些对象通过调用彼此的方法来协同工作。下面简要介绍下类、对象、方法和实例变量的概念。
对象：对象是类的一个实例，有状态和行为。例如，一条狗是一个对象，它的状态有：颜色、名字、品种；行为有：摇尾巴、叫、吃等。
类：类是一个模板，它描述一类对象的行为和状态。
方法：方法就是行为，一个类可以有很多方法。逻辑运算、数据修改以及所有动作都是在方法中完成的。
实例变量：每个对象都有独特的实例变量，对象的状态由这些实例变量的值决定。",Java基础语法
基本语法,"编写 Java 程序时，应注意以下几点：
大小写敏感：Java 是大小写敏感的，这就意味着标识符 Hello 与 hello 是不同的。
类名：对于所有的类来说，类名的首字母应该大写。如果类名由若干单词组成，那么每个单词的首字母应该大写，例如 MyFirstJavaClass 。
方法名：所有的方法名都应该以小写字母开头。如果方法名含有若干单词，则后面的每个单词首字母大写。
源文件名：源文件名必须和类名相同。当保存文件的时候，你应该使用类名作为文件名保存（切记 Java 是大小写敏感的），文件名的后缀为 .java。（如果文件名和类名不相同则会导致编译错误）。
主方法入口：所有的 Java 程序由 public static void main(String[] args) 方法开始执行。",Java基础语法
Java标识符,"像其他语言一样，Java可以使用修饰符来修饰类中方法和属性。主要有两类修饰符：
访问控制修饰符 : default, public , protected, private
非访问控制修饰符 : final, abstract, static, synchronized
在后面的章节中我们会深入讨论 Java 修饰符。
",Java基础语法
Java变量,"Java 中主要有如下几种类型的变量
局部变量
类变量（静态变量）
成员变量（非静态变量）",Java基础语法
Java数组,数组是储存在堆上的对象，可以保存多个同类型变量。在后面的章节中，我们将会学到如何声明、构造以及初始化一个数组。,Java基础语法
Java枚举,"Java 5.0引入了枚举，枚举限制变量只能是预先设定好的值。使用枚举可以减少代码中的 bug。
例如，我们为果汁店设计一个程序，它将限制果汁为小杯、中杯、大杯。这就意味着它不允许顾客点除了这三种尺寸外的果汁。

实例
class FreshJuice {
   enum FreshJuiceSize{ SMALL, MEDIUM , LARGE }
   FreshJuiceSize size;
} 
public class FreshJuiceTest {
   public static void main(String[] args){
      FreshJuice juice = new FreshJuice();
      juice.size = FreshJuice.FreshJuiceSize.MEDIUM  ;
   }
}
注意：枚举可以单独声明或者声明在类里面。方法、变量、构造函数也可以在枚举中定义。",Java基础语法
Java关键字,"下面列出了 Java 关键字。这些保留字不能用于常量、变量、和任何标识符的名称。
访问控制：
private   私有的
protected  受保护的
public  公共的
default  默认
类、方法和变量修饰符：
abstract  声明抽象
class   类
extends  扩充、继承
final   最终值、不可改变的
implements 实现（接口）
interface  接口
native  本地、原生方法（非 Java 实现）
new   创建
static  静态
strictfp  严格浮点、精准浮点
synchronized 线程、同步
transient  短暂
volatile  易失
程序控制语句：
break  跳出循环
case   定义一个值以供 
switch   选择
continue  继续
do   运行
else   否则
for   循环
if   如果
instanceof 实例
return  返回
switch  根据值选择执行
while  循环
错误处理：
assert  断言表达式是否为真
catch  捕捉异常
finally  有没有异常都执行
throw  抛出一个异常对象
throws  声明一个异常可能被抛出
try   捕获异常
包相关：
import  引入
package  包
基本类型：
boolean  布尔型
byte   字节型
char   字符型
double  双精度浮点
float   单精度浮点
int   整型
long   长整型
short  短整型
变量引用：
super  父类、超类
this   本类
void   无返回值
保留关键字：
goto   是关键字，但不能使用
const  是关键字，但不能使用
注意：Java 的 null 不是关键字，类似于 true 和 false，它是一个字面常量，不允许作为标识符使用。",Java基础语法
Java注释,"在计算机语言中，注释是计算机语言的一个重要组成部分，用于在源代码中解释代码的作用，可以增强程序的可读性，可维护性。
Java 注释是一种在 Java 程序中用于提供代码功能说明的文本。
注释不会被编译器包含在最终的可执行程序中，因此不会影响程序的运行。
注释是良好的编程习惯，它们帮助程序员更容易地理解代码的用途和功能，并且在团队协作中非常有用。
Java 注释主要有三种类型：
单行注释
多行注释
文档注释
单行注释
单行注释以双斜杠 // 开始：
实例
// 这是一个单行注释
int x = 10; // 初始化一个变量x为10
多行注释
多行注释以 /*开始，以 */结束：

实例
/*
这是一个多行注释
可以用来注释多行代码
*/
int y = 20; // 初始化一个变量y为20
文档注释
文档注释以 /** 开始，以 */ 结束，通常出现在类、方法、字段等的声明前面，用于生成代码文档，这种注释可以被工具提取并生成 API 文档，如 JavaDoc。

实例
/**
 * 这是一个文档注释示例
 * 它通常包含有关类、方法或字段的详细信息
 */
public class MyClass {
    // 类的成员和方法
}
文档注释的格式通常包含一些特定的标签，如 @param 用于描述方法参数，@return 用于描述返回值，@throws 用于描述可能抛出的异常等等，这些标签有助于生成清晰的API文档，以便其他开发者能够更好地理解和使用你的代码。       // 这是单行注释的示例
       /* 这个也是单行注释的示例 */
       System.out.println(""Hello World""); 
    }
}",Java基础语法
Java空行,空白行或者有注释的行，Java 编译器都会忽略掉。,Java基础语法
继承,在 Java 中，一个类可以由其他类派生。如果你要创建一个类，而且已经存在一个类具有你所需要的属性或方法，那么你可以将新创建的类继承该类。,Java基础语法
